,18:8B:9D:13:AC:32 (LU),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:03:6F:22 (LU),18:8B:9D:13:AC:33 (\x00),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:03:65:A2 (LU),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:03:6F:23 (\x00),18:8B:9D:03:6F:21 (LU-WIFI),18:8B:9D:03:65:AD (LU),18:8B:9D:13:AB:B1 (LU-WIFI),18:8B:9D:13:AB:B2 (LU),18:8B:9D:2C:65:B2 (LU),18:8B:9D:2C:65:B1 (LU-WIFI),70:6B:B9:98:86:4F (eduroam),70:6B:B9:98:86:4E (LU-WIFI),70:6B:B9:98:86:4D (LU),18:8B:9D:13:AB:B0 (eduroam),18:8B:9D:2C:65:BE (LU-WIFI),18:8B:9D:03:6F:2E (LU-WIFI),18:8B:9D:2C:98:92 (LU),18:8B:9D:03:6F:2F (eduroam),18:8B:9D:03:6F:2D (LU),18:8B:9D:2C:65:BF (eduroam),18:8B:9D:2C:65:BD (LU),80:E0:1D:9C:45:92 (LU),80:E0:1D:9C:45:90 (eduroam),18:8B:9D:2C:65:B0 (eduroam),80:E0:1D:9C:45:91 (LU-WIFI),70:6B:B9:98:86:4C (),18:8B:9D:13:AB:BF (eduroam),18:8B:9D:35:BA:31 (LU-WIFI),80:E0:1D:9C:45:93 (\x00),18:8B:9D:35:BA:33 (\x00),18:8B:9D:13:B6:D1 (LU-WIFI),18:8B:9D:13:B6:D2 (LU),18:8B:9D:35:BA:32 (LU),18:8B:9D:13:B6:D0 (eduroam),D4:CA:6D:2B:C4:12 (MikroTik-2BC412),18:8B:9D:13:AB:BD (LU),18:8B:9D:13:AB:BE (LU-WIFI),18:8B:9D:35:BA:30 (eduroam),A0:F3:C1:C7:4D:72 (TP-LINK_GVS),70:6B:B9:98:86:41 (LU-WIFI),70:6B:B9:98:86:42 (LU),70:6B:B9:98:86:43 (),18:8B:9D:13:B6:D3 (\x00),18:8B:9D:13:B6:DE (LU-WIFI),18:8B:9D:35:BA:3F (eduroam),18:8B:9D:13:B6:DF (eduroam),70:6B:B9:98:86:40 (eduroam),18:8B:9D:35:BA:3D (LU),18:8B:9D:35:BA:3E (LU-WIFI),18:8B:9D:03:3E:E2 (LU),18:8B:9D:03:3E:E0 (eduroam),FC:3F:7C:32:8C:FE (HUAWEI-B315-8CFE),18:8B:9D:13:B6:DD (LU),18:8B:9D:03:3E:E1 (LU-WIFI),04:8C:9A:B9:C0:18 (LMT-C018),18:8B:9D:13:AB:B3 (\x00),80:E0:1D:9C:45:9D (LU),02:1E:42:2C:F0:8B (),80:E0:1D:E6:1B:00 (eduroam),18:8B:9D:13:AB:BC (\x00),18:8B:9D:2C:65:B3 (\x00),18:8B:9D:13:B6:DC (\x00),80:E0:1D:9C:45:9F (eduroam),18:4A:6F:64:8B:18 (ALHN-9B68),18:8B:9D:13:B5:D1 (LU-WIFI),18:8B:9D:35:BA:3C (\x00),18:8B:9D:03:6F:2C (\x00),B0:D8:88:23:E8:4F (Smartphone_connect_23e84f),18:8B:9D:2C:98:91 (LU-WIFI),EC:08:6B:F8:FF:7F (SKYNET),04:8C:9A:B9:C0:1A (LMT-5G-C018),58:C1:7A:B2:CB:7D (Bite_R2M2),18:8B:9D:13:AC:3E (LU-WIFI),5A:54:CB:C6:61:1A (Janis's Galaxy S22),18:8B:9D:03:65:A3 (\x00),98:FC:11:82:DC:95 (Gaft),80:E0:1D:9C:45:9E (LU-WIFI),18:8B:9D:13:85:DD (LU),18:8B:9D:03:65:AC (\x00),70:6B:B9:98:9C:A1 (LU-WIFI),18:8B:9D:22:6A:81 (LU-WIFI),70:6B:B9:98:9C:A2 (LU),18:8B:9D:36:5C:00 (eduroam),80:E0:1D:E6:1B:03 (\x00),18:8B:9D:2C:98:93 (\x00),18:8B:9D:13:85:D2 (LU),18:8B:9D:13:85:DC (\x00),18:8B:9D:35:AA:61 (LU-WIFI),18:8B:9D:35:AA:60 (eduroam),18:8B:9D:03:3E:E3 (\x00),80:E0:1D:9C:45:9C (\x00),room_index,measurement_index,batch_index,28:24:FF:C5:03:A7 (WirelessHDMI),CE:2D:E0:A4:7E:A9 (CopyPro-Private),70:6B:B9:98:9C:A0 (eduroam),70:6B:B9:98:9C:A3 (),DC:2C:6E:EE:1E:7D (LMT-2GHz-1E78),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:36:5C:02 (LU),18:8B:9D:36:5C:01 (LU-WIFI),18:8B:9D:2C:98:90 (eduroam),26:18:1D:AA:9A:76 (Galaxy A4119D9),18:8B:9D:13:85:D3 (\x00),80:E0:1D:E6:1B:01 (LU-WIFI),18:8B:9D:2C:65:BC (\x00),18:8B:9D:03:3E:EE (LU-WIFI),18:8B:9D:03:3E:EC (\x00),18:8B:9D:03:3E:EF (eduroam),18:8B:9D:13:AC:3C (\x00),18:8B:9D:13:AC:3F (eduroam),18:8B:9D:13:AC:3D (LU),18:8B:9D:03:65:AE (LU-WIFI),18:8B:9D:03:65:AF (eduroam)
10,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-87,-46,-46,-65,-61,-72,-72,-72,-47,-64,-80,-79,-74,-73,-64,-64,-76,-74,-65,-77,-72,-28,-61,-75,-61,-55,-54,-61,-55,-68,-28,-29,-60,-74,-72,-72,-71,-55,-58,-68,-58,-72,-68,-68,-74,-76,-79,-57,-74,-77,-46,-86,-84,-88,-36,-65,-50,-85,-79,-80,-68,-73,-83,-79,-85,-84,-83,-79,-75,-75,-89,-78,-86,-78,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-83,14,3,11,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,,,,,,,,
11,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-87,-46,-46,-65,-61,-72,-72,-72,-47,-64,-80,-79,-74,-73,-64,-64,-76,-74,-65,-77,-72,-28,-61,-75,-61,-55,-54,-61,-55,-68,-28,-29,-60,-74,-72,-72,-71,-55,-58,-68,-58,-72,-68,-68,-74,-76,-79,-57,-74,-77,-46,-86,-84,-88,-36,-65,-50,-85,-79,-80,-68,-73,-83,-79,-85,-84,-83,-79,-75,-75,-89,-78,-86,-78,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-83,14,3,12,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,,,,,,,,
12,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-87,-46,-46,-65,-61,-72,-72,-72,-47,-64,-80,-79,-74,-73,-64,-64,-76,-74,-65,-77,-72,-28,-61,-75,-61,-55,-54,-61,-55,-68,-28,-29,-60,-74,-72,-72,-71,-55,-58,-68,-58,-72,-68,-68,-74,-76,-79,-57,-74,-77,-46,-86,-84,-88,-36,-65,-50,-85,-79,-80,-68,-73,-83,-79,-85,-84,-83,-79,-75,-75,-89,-78,-86,-78,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-83,14,3,13,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,,,,,,,,
13,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-87,-46,-46,-65,-61,-72,-72,-72,-47,-64,-80,-79,-74,-73,-64,-64,-76,-74,-65,-77,-72,-28,-61,-75,-61,-55,-54,-61,-55,-68,-28,-29,-60,-74,-72,-72,-71,-55,-58,-68,-58,-72,-68,-68,-74,-76,-79,-57,-74,-77,-46,-86,-84,-88,-36,-65,-50,-85,-79,-80,-68,-73,-83,-79,-85,-84,-83,-79,-75,-75,-89,-78,-86,-78,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-83,14,3,14,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,,,,,,,,
14,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,15,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
15,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,16,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
16,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,17,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
17,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,18,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
18,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,19,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
19,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,20,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
20,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,21,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
21,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,22,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
22,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,23,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
23,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,24,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
24,-77,-76,-77,-68,-81,-76,-76,-75,-68,-67,-68,-76,-46,-46,-65,-61,-69,-69,-69,-47,-64,-74,-79,-74,-73,-64,-64,-76,-74,-65,-77,-69,-33,-61,-75,-61,-55,-54,-61,-55,-68,-33,-34,-60,-74,-72,-72,-71,-55,-50,-68,-49,-72,-68,-68,-74,-76,-79,-49,-74,-77,-46,-78,-84,-88,-34,-65,-50,-78,-79,-80,-68,-74,-83,-79,-85,-84,-83,-82,-75,-75,-89,-77,-86,-76,-83,-80,-84,-85,-83,-78,-84,-87,-83,-83,-74,-79,14,3,25,-87,-88,-84,-81,-88,-84,-85,-84,-79,-81,-87,-85,-64,-85,-85,-86,-80,-81,-80,-75,-76
