,B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:13:85:DF (eduroam),18:8B:9D:03:65:A2 (LU),C2:FB:E4:0B:07:76 (),18:8B:9D:13:85:D2 (LU),18:8B:9D:13:AC:32 (LU),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:AC:30 (eduroam),BE:FB:E4:0B:07:76 (),18:8B:9D:03:65:AE (LU-WIFI),18:8B:9D:03:6F:2F (eduroam),18:8B:9D:03:6F:2D (LU),18:8B:9D:03:6F:2E (LU-WIFI),18:8B:9D:13:AC:3E (LU-WIFI),70:6B:B9:98:86:4F (eduroam),70:6B:B9:98:86:4E (LU-WIFI),70:6B:B9:98:86:4D (LU),18:8B:9D:03:65:AF (eduroam),18:8B:9D:13:AB:BF (eduroam),18:8B:9D:13:B6:D2 (LU),18:8B:9D:35:AA:61 (LU-WIFI),18:8B:9D:2C:65:B0 (eduroam),18:8B:9D:03:65:AD (LU),18:8B:9D:03:65:AC (\x00),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:13:B6:D1 (LU-WIFI),18:8B:9D:03:6F:22 (LU),18:8B:9D:13:AC:33 (\x00),18:8B:9D:03:6F:21 (LU-WIFI),18:8B:9D:03:6F:23 (\x00),18:8B:9D:2C:65:B2 (LU),18:8B:9D:2C:98:9E (LU-WIFI),70:6B:B9:98:86:4C (),18:8B:9D:13:AB:BC (\x00),18:8B:9D:13:B7:D1 (LU-WIFI),80:E0:1D:9C:45:90 (eduroam),18:8B:9D:35:BA:30 (eduroam),18:8B:9D:35:BA:31 (LU-WIFI),18:8B:9D:13:B7:D3 (\x00),80:E0:1D:9C:45:92 (LU),18:8B:9D:35:BA:32 (LU),18:8B:9D:03:8C:20 (eduroam),18:8B:9D:2C:98:92 (LU),18:8B:9D:2C:65:B1 (LU-WIFI),18:8B:9D:2C:65:BF (eduroam),18:8B:9D:2C:65:BD (LU),18:8B:9D:2C:65:BE (LU-WIFI),18:8B:9D:35:AA:6F (eduroam),18:8B:9D:35:AA:6D (LU),18:8B:9D:35:AA:6E (LU-WIFI),18:8B:9D:13:AB:BD (LU),18:8B:9D:13:AB:BE (LU-WIFI),18:8B:9D:35:AA:63 (\x00),18:8B:9D:35:AA:60 (eduroam),80:E0:1D:9C:45:91 (LU-WIFI),18:8B:9D:35:AA:62 (LU),18:8B:9D:35:BA:33 (\x00),80:E0:1D:9C:45:93 (\x00),28:24:FF:C5:03:A7 (WirelessHDMI),80:E0:1D:E5:EF:33 (\x00),70:6B:B9:98:9C:C0 (eduroam),70:6B:B9:98:9C:C1 (LU-WIFI),70:6B:B9:98:9C:C2 (LU),70:6B:B9:98:9C:C3 (),18:8B:9D:03:3E:E1 (LU-WIFI),18:8B:9D:2C:98:93 (\x00),18:8B:9D:2C:98:9D (LU),BE:FB:E4:0B:07:75 (),C2:FB:E4:0B:07:75 (),18:8B:9D:13:B7:D0 (eduroam),18:8B:9D:13:B6:D3 (\x00),18:8B:9D:13:B6:D0 (eduroam),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:13:AB:B0 (eduroam),18:8B:9D:13:AB:B2 (LU),18:8B:9D:13:AB:B1 (LU-WIFI),18:8B:9D:2C:98:90 (eduroam),18:8B:9D:03:3E:E0 (eduroam),70:6B:B9:98:86:40 (eduroam),70:6B:B9:98:86:41 (LU-WIFI),70:6B:B9:98:86:42 (LU),70:6B:B9:98:86:43 (),18:8B:9D:03:3E:E3 (\x00),18:8B:9D:2C:98:9F (eduroam),18:8B:9D:35:BA:3C (\x00),18:8B:9D:03:3E:EC (\x00),18:8B:9D:03:6F:2C (\x00),80:E0:1D:9C:45:9C (\x00),80:E0:1D:9C:45:9F (eduroam),80:E0:1D:9C:45:9D (LU),80:E0:1D:9C:45:9E (LU-WIFI),18:8B:9D:03:8C:22 (LU),18:8B:9D:03:8C:21 (LU-WIFI),00:1C:10:0B:71:AF (CUEnet),00:31:92:78:98:EB (LU_R19_Rektorats_Wireless),18:8B:9D:03:3E:E2 (LU),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:13:B6:DC (\x00),18:8B:9D:13:AC:3F (eduroam),18:8B:9D:13:AC:3D (LU),18:8B:9D:13:85:DC (\x00),18:8B:9D:13:B7:D2 (LU),18:8B:9D:13:AB:B3 (\x00),18:8B:9D:2C:98:91 (LU-WIFI),04:D3:B5:A0:DE:82 (HUAWEI P30 lite),18:8B:9D:35:BA:3E (LU-WIFI),18:8B:9D:13:B7:DF (eduroam),18:8B:9D:13:AC:3C (\x00),18:8B:9D:13:85:DD (LU),70:6B:B9:98:9C:CD (LU),room_index,measurement_index,batch_index,18:4A:6F:64:8B:18 (ALHN-9B68),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:13:B5:DD (LU)
10,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,-76,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,11,-88,-84,-75,-88
11,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,-76,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,12,-88,-84,-75,-88
12,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,-76,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,13,-88,-84,-75,-88
13,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,-76,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,14,-88,-84,-75,-88
14,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,15,-88,-84,-75,-88
15,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,16,-88,-84,-75,-88
16,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,17,-88,-84,-75,-88
17,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,18,-88,-84,-75,-88
18,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,-87,-87,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,19,-88,-84,-75,-88
19,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,20,-88,-84,-75,-88
20,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,21,-88,-84,-75,-88
21,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,22,-88,-84,-75,-88
22,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,23,-88,-84,-75,-88
23,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,24,-88,-84,-75,-88
24,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,-82,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,25,-88,-84,-75,-88
25,-73,-75,-53,-73,,-66,-66,-65,-76,-49,-37,-37,-37,-65,-63,-63,-63,-49,-70,-75,-64,-59,-49,-48,-29,-76,-30,-71,-30,-30,-57,-64,-61,,-76,-67,-71,-73,-77,-67,-73,-81,-60,-64,-67,-67,-66,-77,-77,-77,-70,-71,-64,-64,-67,-64,-71,-66,,,-74,-74,-73,-74,-74,,-64,,,,-76,-77,-53,-52,-71,-71,-63,-60,-77,-70,-69,-55,-69,-74,-64,-85,-84,-36,-74,-73,-73,-74,-82,-83,-88,-78,-77,-79,-83,-65,-65,-80,-78,-63,-60,-81,-86,-82,-71,-76,-70,345,18,26,-88,-84,-75,-88
