,18:8B:9D:13:AC:32 (LU),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:03:6F:22 (LU),18:8B:9D:13:AC:33 (\x00),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:03:65:A2 (LU),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:03:6F:20 (eduroam),18:8B:9D:03:6F:23 (\x00),18:8B:9D:03:6F:21 (LU-WIFI),18:8B:9D:03:65:AD (LU),18:8B:9D:13:AB:B1 (LU-WIFI),18:8B:9D:13:AB:B2 (LU),18:8B:9D:2C:65:B2 (LU),18:8B:9D:2C:65:B1 (LU-WIFI),70:6B:B9:98:86:4F (eduroam),70:6B:B9:98:86:4E (LU-WIFI),70:6B:B9:98:86:4D (LU),18:8B:9D:13:AB:B0 (eduroam),18:8B:9D:2C:65:BE (LU-WIFI),18:8B:9D:03:6F:2E (LU-WIFI),18:8B:9D:2C:98:92 (LU),18:8B:9D:03:6F:2F (eduroam),18:8B:9D:03:6F:2D (LU),18:8B:9D:2C:65:BF (eduroam),18:8B:9D:2C:65:BD (LU),80:E0:1D:9C:45:92 (LU),80:E0:1D:9C:45:90 (eduroam),18:8B:9D:2C:65:B0 (eduroam),80:E0:1D:9C:45:91 (LU-WIFI),70:6B:B9:98:86:4C (),18:8B:9D:13:AB:BF (eduroam),18:8B:9D:35:BA:31 (LU-WIFI),80:E0:1D:9C:45:93 (\x00),18:8B:9D:35:BA:33 (\x00),18:8B:9D:13:B6:D1 (LU-WIFI),18:8B:9D:13:B6:D2 (LU),18:8B:9D:35:BA:32 (LU),18:8B:9D:13:B6:D0 (eduroam),D4:CA:6D:2B:C4:12 (MikroTik-2BC412),18:8B:9D:13:AB:BD (LU),18:8B:9D:13:AB:BE (LU-WIFI),18:8B:9D:35:BA:30 (eduroam),A0:F3:C1:C7:4D:72 (TP-LINK_GVS),70:6B:B9:98:86:41 (LU-WIFI),70:6B:B9:98:86:42 (LU),70:6B:B9:98:86:43 (),18:8B:9D:13:B6:D3 (\x00),18:8B:9D:13:B6:DE (LU-WIFI),18:8B:9D:35:BA:3F (eduroam),18:8B:9D:13:B6:DF (eduroam),70:6B:B9:98:86:40 (eduroam),18:8B:9D:35:BA:3D (LU),18:8B:9D:35:BA:3E (LU-WIFI),18:8B:9D:03:3E:E2 (LU),18:8B:9D:03:3E:E0 (eduroam),FC:3F:7C:32:8C:FE (HUAWEI-B315-8CFE),18:8B:9D:13:B6:DD (LU),18:8B:9D:03:3E:E1 (LU-WIFI),04:8C:9A:B9:C0:18 (LMT-C018),18:8B:9D:13:AB:B3 (\x00),80:E0:1D:9C:45:9D (LU),18:8B:9D:13:AB:BC (\x00),18:8B:9D:2C:65:B3 (\x00),18:8B:9D:13:B6:DC (\x00),18:4A:6F:64:8B:18 (ALHN-9B68),18:8B:9D:35:BA:3C (\x00),18:8B:9D:03:6F:2C (\x00),18:8B:9D:2C:98:91 (LU-WIFI),18:8B:9D:13:AC:3E (LU-WIFI),5A:54:CB:C6:61:1A (Janis's Galaxy S22),18:8B:9D:03:65:A3 (\x00),80:E0:1D:9C:45:9E (LU-WIFI),18:8B:9D:2C:98:93 (\x00),18:8B:9D:03:3E:E3 (\x00),80:E0:1D:9C:45:9C (\x00),18:8B:9D:2C:98:90 (eduroam),80:E0:1D:E6:1B:01 (LU-WIFI),18:8B:9D:2C:65:BC (\x00),18:8B:9D:13:AC:3C (\x00),18:8B:9D:13:AC:3F (eduroam),18:8B:9D:13:AC:3D (LU),02:1E:42:2C:F0:8B (),80:E0:1D:E6:1B:02 (LU),18:8B:9D:22:91:F3 (\x00),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:22:91:F2 (LU),18:8B:9D:03:65:AE (LU-WIFI),80:E0:1D:E6:1B:00 (eduroam),CE:2D:E0:A4:7E:A9 (CopyPro-Private),18:8B:9D:03:65:AF (eduroam),58:C1:7A:B2:CB:7D (Bite_R2M2),D4:CA:6D:2D:CF:23 (MikroTik-2DCF23),DC:2C:6E:EE:1E:7D (LMT-2GHz-1E78),EC:08:6B:F8:FF:7F (SKYNET),18:8B:9D:35:AA:61 (LU-WIFI),80:E0:1D:9C:45:9F (eduroam),room_index,measurement_index,batch_index,32:F5:1D:A1:D8:4D (Redmi Note 10 5G),18:8B:9D:36:5C:03 (\x00)
10,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,11,,
11,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,12,,
12,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,13,,
13,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,14,,
14,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,15,,
15,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,16,,
16,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,17,,
17,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,18,,
18,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,19,,
19,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,20,,
20,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,21,,
21,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,22,,
22,-75,-74,-74,-70,-73,-81,-82,-81,-69,-69,-69,-80,-48,-48,-67,-67,-77,-78,-78,-49,-74,-82,-83,-85,-85,-74,-74,-77,-80,-67,-81,-67,-44,-75,-81,-66,-32,-32,-75,-32,-78,-44,-45,-75,-73,-73,-73,-73,-43,-42,-81,-42,-74,-78,-78,-81,-82,-73,-42,-80,-90,-50,-85,-32,-68,-43,-75,-75,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-81,-84,-86,-85,-86,-86,-80,-85,-87,-81,-78,-83,-83,-83,-83,-84,14,21,23,,
23,-75,-74,-74,-76,-73,-81,-82,-81,-76,-74,-74,-80,-52,-52,-71,-70,-79,-79,-79,-52,-77,-82,-83,-85,-85,-77,-77,-77,-80,-70,-81,-67,-49,-75,-81,-75,-39,-39,-76,-39,-82,-49,-49,-75,-79,-73,-73,-73,-39,-30,-81,-30,-74,-78,-78,-81,-82,-78,-29,-80,-90,-52,-85,-32,-68,-43,-75,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-84,-74,-80,-82,-80,-80,-84,-86,-85,-86,-86,-80,-85,-87,-81,-86,-79,-83,-86,-83,-84,14,21,24,,
24,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,-90,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,-85,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,25,-81,-81
25,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,-90,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,-85,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,26,-81,-81
26,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,-90,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,-85,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,27,-81,-81
27,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,-90,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,-85,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,28,-81,-81
28,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,29,-81,-81
29,-75,-84,-74,-76,-73,-81,-82,-81,-75,-74,-74,-80,-52,-55,-74,-73,-76,-76,-76,-56,-76,-82,-83,-85,-85,-76,-75,-77,-83,-74,-83,-67,-40,-75,-81,-76,-32,-32,-76,-32,-86,-39,-40,-76,-80,-73,-73,-73,-32,-28,-81,-28,-74,-81,-78,-81,-82,-83,-28,-80,,-52,-85,-32,-68,-43,-84,-84,-82,-83,-82,-78,-81,-83,-84,-80,-85,-83,-83,-74,-80,-82,-80,-80,-84,-86,,-86,-86,-80,-85,-87,-81,-86,-80,-83,-86,-83,-84,14,21,30,-81,-81
