,18:8B:9D:13:84:D0 (eduroam),18:8B:9D:13:84:D2 (LU),18:8B:9D:13:84:D1 (LU-WIFI),18:8B:9D:13:84:D3 (\x00),BE:FB:E4:0B:07:76 (),18:8B:9D:35:85:20 (eduroam),80:E0:1D:F9:29:41 (LU-WIFI),18:8B:9D:35:85:21 (LU-WIFI),18:8B:9D:35:85:23 (\x00),18:8B:9D:35:85:22 (LU),80:E0:1D:F9:29:40 (eduroam),80:E0:1D:F9:29:42 (LU),80:E0:1D:F9:29:4F (eduroam),18:8B:9D:35:7D:F2 (LU),80:E0:1D:F9:29:4D (LU),80:E0:1D:F9:29:4E (LU-WIFI),18:8B:9D:13:84:DE (LU-WIFI),18:8B:9D:03:94:12 (LU),18:8B:9D:03:94:11 (LU-WIFI),18:8B:9D:35:85:2D (LU),18:8B:9D:35:85:2E (LU-WIFI),18:8B:9D:03:94:10 (eduroam),18:8B:9D:35:85:2F (eduroam),18:8B:9D:03:94:1F (eduroam),18:8B:9D:03:94:1D (LU),18:8B:9D:03:94:1E (LU-WIFI),18:8B:9D:35:7D:F1 (LU-WIFI),18:8B:9D:03:99:E1 (LU-WIFI),18:8B:9D:35:7D:F0 (eduroam),18:8B:9D:35:7D:FF (eduroam),18:8B:9D:35:7D:FD (LU),18:8B:9D:35:7D:FE (LU-WIFI),18:8B:9D:35:7D:F3 (\x00),B4:FB:E4:0B:07:76 (DF SP),18:8B:9D:03:94:13 (\x00),80:E0:1D:F9:29:43 (\x00),C2:FB:E4:0B:07:76 (),00:25:9C:92:47:95 (DFLAB_GUEST),18:8B:9D:13:85:D3 (\x00),18:8B:9D:13:85:D0 (eduroam),18:8B:9D:13:85:D2 (LU),B4:FB:E4:0B:07:77 (DF SP),18:8B:9D:13:AC:31 (LU-WIFI),18:8B:9D:13:85:D1 (LU-WIFI),18:8B:9D:22:91:F1 (LU-WIFI),18:8B:9D:22:91:F2 (LU),18:8B:9D:22:91:F0 (eduroam),18:8B:9D:13:AC:32 (LU),18:8B:9D:22:92:01 (LU-WIFI),50:06:04:2B:52:C3 (LU-WIFI),18:8B:9D:22:92:02 (LU),50:06:04:2B:52:C5 (Devices),18:8B:9D:22:91:FC (\x00),B4:FB:E4:0B:07:75 (DF SP),80:E0:1D:9C:20:81 (LU-WIFI),18:8B:9D:22:91:FD (LU),18:8B:9D:22:91:FE (LU-WIFI),18:8B:9D:22:92:00 (eduroam),18:8B:9D:03:99:E2 (LU),80:E0:1D:9C:20:83 (\x00),18:8B:9D:22:91:F3 (\x00),80:E0:1D:9C:20:80 (eduroam),80:E0:1D:9C:20:82 (LU),18:8B:9D:22:91:FF (eduroam),2C:31:24:C7:37:C2 (LU),18:8B:9D:22:92:0E (LU-WIFI),50:06:04:2B:52:C7 (\x00),50:06:04:2B:52:C2 (eduroam),2C:31:24:C7:37:C0 (eduroam),18:8B:9D:35:7D:FC (\x00),50:06:04:2B:52:CA (Devices),50:06:04:2B:52:CB (LU),50:06:04:2B:52:CD (eduroam),2C:31:24:C7:37:C1 (LU-WIFI),50:06:04:2B:52:C4 (LU),50:06:04:2B:52:CC (LU-WIFI),18:8B:9D:22:92:0D (LU),80:E0:1D:F9:29:4C (\x00),80:E0:1D:9C:20:8D (LU),18:8B:9D:13:84:DC (\x00),18:8B:9D:35:BA:12 (LU),18:8B:9D:35:85:2C (\x00),18:8B:9D:13:85:DD (LU),50:06:04:2B:52:C8 (\x00),18:8B:9D:13:85:DC (\x00),18:8B:9D:13:84:DD (LU),18:8B:9D:35:BA:13 (\x00),18:8B:9D:22:92:0F (eduroam),18:8B:9D:13:AC:30 (eduroam),18:8B:9D:03:99:E0 (eduroam),18:8B:9D:13:AC:3E (LU-WIFI),18:8B:9D:13:84:DF (eduroam),80:E0:1D:9C:20:8E (LU-WIFI),18:8B:9D:03:94:1C (\x00),18:8B:9D:13:85:DE (LU-WIFI),18:8B:9D:22:92:0C (\x00),D4:CA:6D:2D:CF:23 (MikroTik-2DCF23),18:8B:9D:35:BA:11 (LU-WIFI),12:90:95:F8:C9:21 (\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00),18:8B:9D:22:92:03 (\x00),18:8B:9D:2C:63:F1 (LU-WIFI),18:8B:9D:2C:63:F2 (LU),18:45:93:4F:01:D9 (Arhitekts),80:E0:1D:9C:20:8C (\x00),18:8B:9D:13:AC:3D (LU),D4:46:49:71:33:50 (ALHN-8DB7-5),2C:31:24:C7:37:CF (eduroam),2C:31:24:C7:37:CE (LU-WIFI),2C:31:24:C7:37:CD (LU),18:8B:9D:13:AC:3F (eduroam),E4:8D:8C:69:41:83 (B-501),18:8B:9D:03:65:A1 (LU-WIFI),18:8B:9D:03:65:A3 (\x00),18:8B:9D:03:65:A0 (eduroam),18:8B:9D:13:85:DF (eduroam),CC:2D:E0:E3:2F:94 (B-205),room_index,measurement_index,batch_index,18:8B:9D:2C:97:E2 (LU),F8:0C:58:1D:94:79 (ALHN-8DB7),18:8B:9D:2C:63:F3 (\x00),18:8B:9D:2C:63:F0 (eduroam),18:8B:9D:13:AC:3C (\x00),18:8B:9D:35:BA:10 (eduroam),18:8B:9D:13:AC:33 (\x00),18:8B:9D:03:65:A2 (LU),BE:FB:E4:0B:07:75 (),C2:FB:E4:0B:07:75 (),18:8B:9D:13:B5:D2 (LU),18:8B:9D:13:B5:D1 (LU-WIFI),2C:31:24:C7:37:C3 (),18:8B:9D:2C:63:FF (eduroam),80:E0:1D:9C:20:8F (eduroam),18:8B:9D:13:B9:40 (eduroam)
10,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,11,-85,-84,-81,-79,-85,-76,,,,,,,,,,
11,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,12,-85,-84,-81,-79,-85,-76,,,,,,,,,,
12,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,13,-85,-84,-81,-79,-85,-76,,,,,,,,,,
13,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,14,-85,-84,-81,-79,-85,-76,,,,,,,,,,
14,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,15,-85,-84,-81,-79,-85,-76,,,,,,,,,,
15,-68,-68,-68,-68,-62,-57,-27,-56,-57,-57,-27,-27,-43,-71,-43,-43,-69,-65,-64,-60,-60,-63,-60,-61,-61,-61,-71,-74,-73,-79,-79,-79,-71,-54,-64,-27,-63,-64,-75,-75,-77,-72,-72,-76,-66,-67,-70,-72,-73,-69,-72,-71,-60,-72,-73,-64,-65,-72,-75,-73,-68,-73,-73,-64,-74,-76,-70,-68,,-78,-71,-72,-72,-73,-70,-71,-76,-43,-80,-76,-81,-60,-76,-77,-81,-68,-79,-78,-72,-76,,-68,-80,-73,-78,-76,-76,-78,,,-77,-81,-76,-84,-86,-72,-88,-84,-83,-85,-85,-83,-80,-81,-73,-78,16,15,16,-85,-84,-81,-79,-85,-76,,,,,,,,,,
16,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,17,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
17,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,18,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
18,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,19,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
19,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,20,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
20,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,21,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
21,-71,-71,-70,-68,-63,-50,-23,-50,-50,-51,-22,-23,-33,-63,-33,-33,-74,-62,-61,-62,-63,-62,-64,-70,-70,-69,-63,-76,-64,-82,-81,-80,-63,-63,-64,-23,-63,-58,-74,-73,-73,-72,-69,-72,-64,-64,-63,-70,-69,-69,-69,-70,-60,-68,-77,-64,-64,-70,-75,-73,-68,-73,-73,-63,-74,-76,-70,-68,,-78,-71,-71,-71,-73,-70,-71,-76,-43,-81,-76,-78,-64,-76,-77,-81,-74,-78,-78,-72,-76,,-74,-80,-73,-78,-79,-76,-78,,,-77,-82,-74,-84,-86,-72,-88,-83,-81,-85,-85,-78,-80,-81,-73,-78,16,15,22,-85,-84,-82,-79,-84,-76,-69,-78,,,,,,,,
